title,type,due_date,link
Project 4: Artifact + Documentation,assignment,2025-10-29T23:59,
Midterm 2: with Snap! (Fractal),assignment,2025-11-02T23:59,
Midterm 1 Fractal (with Snap!),assignment,2025-10-26T23:59,
Project 4 RESUBMISSION: Artifact + Documentation,assignment,2025-11-19T23:59,
Lab 4: Iteration (code),assignment,2025-09-17T23:59,
Postterm 3: With Snap! (Recursion),assignment,2027-07-17T23:59,
Project 3: 2048,assignment,2025-10-20T23:59,
Lab 2: Build Your Own Blocks (Code),assignment,2025-09-05T23:59,
Lab 5: Lists + HOFs (Code),assignment,2025-09-22T23:59,
"Discussion 3: Domain/Range, Scoping, Iteration, Lists	",assignment,2025-09-18T23:59,
Discussion 2: Numeral Representation + Control Structures	,assignment,2025-09-11T23:59,
Discussion 1: Welcome to CS10!,assignment,2025-09-04T23:59,
Project 1: Wordle™-lite,assignment,2025-09-17T23:59,
"Lab 3: Conditionals, Reporters, & Testing (Code)",assignment,2025-09-10T23:59,
Lecture Quiz 10: Testing + 2048,assignment,2025-10-06T23:59,
Lab 7: Algorithms (Code),assignment,2025-10-01T23:59,
Lecture Quiz 14: Algorithmic Complexity,assignment,2025-10-20T23:59,
Lecture Quiz 9: Algorithms,assignment,2025-10-01T23:59,
Discussion 5: Quest Review,assignment,2025-10-02T23:59,
Lab 12: Algorithmic Complexity (Code),assignment,2025-10-17T23:59,
Lab 10: Trees and Fractals (Code),assignment,2025-10-10T23:59,
Discussion 4: HOFs,assignment,2025-09-25T23:59,
Lab 6: HOFs and Functions as Data (Code),assignment,2025-09-24T23:59,
"Discussion 6: HOFs, Lambdas, Debugging	",assignment,2025-10-09T23:59,
Lecture Quiz 15: Saving the World with Computing (Guest Lecture),assignment,2025-10-22T23:59,
Lab 17: Data Structures in Python (Conceptual),assignment,2025-11-12T23:59,
Lecture Quiz 22: Programming Paradigms,assignment,2025-11-17T23:59,
Lecture Quiz 20: Python II - Data Structures,assignment,2025-11-10T00:59,
Lab 17: Data Structures in Python (Code),assignment,2025-11-12T23:59,
Discussion 9: Midterm Preview,assignment,2025-10-30T23:59,
Discussion 11: Welcome to Python,assignment,2025-11-13T23:59,
Lab 19: Data Science (conceptual),assignment,2025-11-19T23:59,
Discussion 12: Data Structures in Python,assignment,2025-11-20T23:59,
Lecture Quiz 24: Python V - OOP,assignment,2025-12-01T23:59,
Lab 13: Concurrency & Parallelism,assignment,2025-10-29T23:59,
Discussion 13: Concurrency + Postterm Practice,assignment,2025-11-27T23:59,
Lecture Quiz 26: Alumni Panel,assignment,2025-12-03T23:59,
Lecture Quiz 17: Concurrency,assignment,2025-10-29T23:59,
Lecture Quiz 16: Human-Computer Interaction (Guest Lecture),assignment,2025-10-27T23:59,
Project 5: Final Project Proposal,assignment,2025-11-07T23:59,
Lab 15: Welcome to Python (Code),assignment,2025-11-05T23:59,
Project 2: Spelling Bee,assignment,2025-10-03T23:59,
Lab 19: Data Science (code),assignment,2025-11-19T23:59,
Lab 15: Welcome to Python (Conceptual),assignment,2025-11-05T23:59,
Midterm 3: with Snap! (Fractal),assignment,2025-11-09T23:59,
Lab 9: Boards (Code),assignment,2025-10-08T23:59,
Project 4 RESUBMISSION: Peer Reflections / Comments,assignment,2025-11-19T23:59,
Practice Midterm: With Snap! (Fractal),assignment,2025-10-24T23:59,
Lab 18: Text Processing in Python (Conceptual),assignment,2025-11-14T23:59,
Lab 18: Text Processing in Python (Code),assignment,2025-11-14T23:59,
Project 4: Peer Reflections / Comments,assignment,2025-11-07T23:59,
Lecture Quiz 25: Python III - Game Theory**,assignment,2025-11-26T23:59,
Lecture Quiz 24: Ethics in AI,assignment,2025-11-24T23:59,
Postterm 3: With Snap! (HOFs),assignment,2027-07-17T23:59,
Lecture Quiz 18. OOP in Snap!,assignment,2025-11-03T23:59,
Postterm 3: with Snap! - HOFs (MKH),assignment,2025-12-14T23:59,
Lecture Quiz 23: Generative AI,assignment,2025-11-19T23:59,
Lecture Quiz 27: Conclusion and Farewell!,assignment,2025-12-08T23:59,
Lecture Quiz 19: Python I - Intro,assignment,2025-11-05T23:59,
Practice Postterm: With Snap! With Python Total Payroll,assignment,2025-11-21T23:59,
Postterm 3: with Snap! - COMBINE (C),assignment,2025-12-14T23:59,
Postterm 3: with Snap! - Recursion (R),assignment,2025-12-14T23:59,
Postterm 1: with Snap!,assignment,2025-11-23T23:59,
Optional Lab 2: Object-Oriented Programming (Conceptual),assignment,2025-12-05T23:59,
Lab 20: Linear Recursion in Python (Conceptual),assignment,2025-11-26T23:59,
Optional Lab 2: Object-Oriented Programming (Code),assignment,2025-12-05T23:59,
Postterm 2: With Snap! (HOFs),assignment,2025-12-07T23:59,
Postterm 2: with Snap! - RECURSION,assignment,2025-12-07T23:59,
Lab 20: Linear Recursion in Python (Code),assignment,2025-11-26T23:59,
Project 5: Final Project Submission,assignment,2025-12-08T23:59,
Project 5 RESUBMISSION: Final Project Submission,assignment,2025-12-08T23:59,
Discussion 7: Recursion I,assignment,2025-10-16T23:59,
Discussion 8: Algorithmic Complexity + Tree Recursion,assignment,2025-10-23T23:59,
Midterm 1: with Snap! (fractal),assignment,2025-10-26T23:59,
Discussion 8: Tree Recursion + Algorithmic Complexity,assignment,2025-10-23T23:59,
