title,type,due_date,link
Project 4: Artifact + Documentation,assignment,2050-10-03T23:59,/courses/1150618/assignments/6873380
Midterm 2: with Snap! (Fractal),assignment,2050-09-24T23:59,/courses/1150618/assignments/6873381
Midterm 1 Fractal (with Snap!),assignment,2050-09-17T23:59,/courses/1150618/assignments/6873382
Lecture Quiz 4: Iteration,assignment,2050-08-09T23:59,/courses/1150618/assignments/6873383
Project 4 RESUBMISSION: Artifact + Documentation,assignment,2050-10-03T23:59,/courses/1150618/assignments/6873384
Lecture Quiz 12: Higher-Order Functions,assignment,2050-09-18T23:59,/courses/1150618/assignments/6873385
Lab 4: Lists + Loops (Conceptual),assignment,2050-08-10T23:59,/courses/1150618/assignments/6873386
Lab 4: Lists + Loops (code),assignment,2050-08-10T23:59,/courses/1150618/assignments/6873387
Postterm 3: With Snap! (Recursion),assignment,2052-06-14T23:59,/courses/1150618/assignments/6873388
Lab 5: Lists + HOFs (Conceptual),assignment,2050-08-15T23:59,/courses/1150618/assignments/6873389
Lecture Quiz 1: Welcome to CS10 & Abstraction,assignment,2050-07-31T23:59,/courses/1150618/assignments/6873390
Lecture Quiz 2: Functions,assignment,2050-08-08T23:59,/courses/1150618/assignments/6873391
Project 3: 2048,assignment,2050-09-18T23:59,/courses/1150618/assignments/6873392
Lab 2: Build Your Own Blocks (Code),assignment,2050-08-03T23:59,/courses/1150618/assignments/6873393
Lab 8: Boards (Conceptual),assignment,2050-08-29T23:59,/courses/1150618/assignments/6873394
Lab 2: Build Your Own Blocks (Conceptual),assignment,2050-08-03T23:59,/courses/1150618/assignments/6873395
Lab 5: Lists + HOFs (Code),assignment,2050-08-15T23:59,/courses/1150618/assignments/6873396
"Discussion 3: Domain/Range, Scoping, Iteration, Lists	",assignment,2050-08-17T23:59,/courses/1150618/assignments/6873397
Discussion 2: Numeral Representation + Control Structures	,assignment,2050-08-10T23:59,/courses/1150618/assignments/6873398
Discussion 1: Welcome to CS10!,assignment,2050-08-03T23:59,/courses/1150618/assignments/6873399
Project 1: Wordle™-lite,assignment,2050-08-09T23:59,/courses/1150618/assignments/6873400
Lecture Quiz 3: Numbers and Abstraction,assignment,2050-08-07T23:59,/courses/1150618/assignments/6873401
"Lab 3: Conditionals, Reporters & Abstraction (Code)",assignment,2050-08-08T23:59,/courses/1150618/assignments/6873402
"Lab 3: Conditionals, Reporters, & Abstraction (Conceptual)",assignment,2050-08-08T23:59,/courses/1150618/assignments/6873403
Lecture Quiz 11: Testing + 2048,assignment,2050-09-06T23:59,/courses/1150618/assignments/6873404
Lab 6: Algorithms (Code),assignment,2050-08-17T23:59,/courses/1150618/assignments/6873405
"Lecture Quiz 5: Lists, Scoping, & HOFs",assignment,2050-08-14T23:59,/courses/1150618/assignments/6873406
Lecture Quiz 7: Algorithmic Complexity,assignment,2050-08-23T23:59,/courses/1150618/assignments/6873407
Lecture Quiz 14: Computers in Education ,assignment,2050-09-18T23:59,/courses/1150618/assignments/6873408
Lecture Quiz 6: Algorithms,assignment,2050-08-16T23:59,/courses/1150618/assignments/6873409
